Title,Abstract,Discipline,Methodology
Designing Conversational Agents to Support Student Teacher Learning in Virtual Reality Simulation: A Case Study,"Maximizing educational impacts with learning technologies is one of the areas that researchers and practitioners are concerned about in the field of Human-Computer Interaction (HCI) and human-centered artificial intelligence (HCAI). In this case study, we report user experiences and lessons learned of the Enactive Virtual Environment for teaching practice (EVETeach) with AI-powered virtual student agents called Evelyn. We conducted a user study with a case study research design. We collected multiple sources of data from 24 student teachers, including participatory observations, field notes, semi-structured interviews, computer-based conversation logs, audio-, video-, and screen-recordings, and a cognitive walkthrough. We identified the following salient emerging findings as lessons learned: 1) Student teachers value and relate to the teaching practices in virtual reality simulation with AI-powered conversational agents, 2) AI-powered conversational agents inject humor to facilitate situational and social teaching practice, and 3) AI-powered conversational student agents maintain authentic discourse to promote student teachers’ pedagogical reasoning.",CS,Qualitative
Pengungkapan Kinerja Sosial Perbankan Syariah di Indonesia,"The research aims to determine the disclosure of the social performance of Islamicbanking based on the ISR index. The method used in this research is qualitativecontent analysis. Qualitative content analysis is also called Ethnographic ContentAnalysis (ECA), which is a combination of objective content analysis and participantobservation where researchers interact with documentation materials. The populationin this study are all Islamic Commercial Banks (BUS) in Indonesia with a sample ofBUS which has published annual reports for the 2015-2017 period using purposivesampling method. From the assessment results using the ISR index, it was found thatBSM occupies the highest disclosure value in the 2015-2017 period. The average peryear shows that the reporting of social performance of Islamic Bank tends to increasewith a good predicate.",IS,Qualitative
Virtualization of Higher Education during COVID-19: A Successful Case Study in Palestine,"The purpose of the study is to explore students’ and faculty members’ responses to universities’ migration from face-to-face to online instruction as a result of the coronavirus (COVID-19) crisis. To this extent, a qualitative approach was used for data collection and involved a number of qualitative methods: an open-ended question survey, focus group discussion, social media data, and university reports. Additionally, a thematic analysis was used for data analysis. The findings of the study reveal that students and faculty members were overwhelmed and stressed at the beginning, but as they started to acclimate to it, faculty members were satisfied. However, students seemed to be dissatisfied with this new approach to learning. Furthermore, faculty members and students both mentioned different challenges they had faced. The study reports on the technological tools used to mitigate the emerging challenges of both students and faculty members. Evaluating and assessing students was a main challenge for faculty members as the study analyzes the assessment and evaluation tools that they use in their online teaching. Comparative studies from Palestine and other countries are suggested for future research.",IS,Qualitative
The mark of industry 4.0: how managers respond to key revolutionary changes,"Purpose – The purpose of this study is to provide a framework of managerial responses to the Industry 4.0 phenomenon, which has impacted the productivity of Indonesian manufacturing companies while revolutionizing global industries. Design/methodology/approach – The study employs qualitative research using the Grounded Theory Method since research in this area is still in its preliminary stages. The study elicits insights from 12 operation managers through a semi-structured interview and a focus group discussion. Using content analysis, the study formulates relationships among Industry 4.0 initiatives, its driving factors and challenges as well as critical success factors and the expected benefits. Findings – The findings reveal that Indonesian manufacturers have engaged in Industry 4.0 initiatives: cyberphysical systems, the internet of things, Big Data and cloud computing. These initiatives require managers to adopt best practices, appoint champions as change agents, conduct training and even tailor the job qualifications of their subordinates to suit the current technology. Research limitations/implications – The qualitative method allows an in-depth investigation that is synthesized into a conceptual framework, but this framework still needs to be empirically tested. The study is currently based on informants from large manufacturing companies. Future studies could scale up the research and validate the findings. Practical implications – This exploratory framework could guide managers in their strategic and operational decisions while embracing the Industry 4.0 transformation inside the organization. Originality/value – Prior studies examining the adoption of Industry 4.0 principles by Indonesian manufacturing companies are rare. Furthermore, conceptual studies dominate the existing literature related to the Industry 4.0 concept. This study attempts to fill the gap and provides a framework that is based on grounded empirical data of manufacturing companies in Indonesia, a newly industrialized economy. Keywords Industry 4.0, Indonesian manufacturing firms, Grounded theory method",IS,Qualitative
"Online collaborative learning and cognitive presence in mathematics and science education. Case study of university of Rwanda, college of education","This study aims to investigate how online collaboration can support the learning of science, technology, engineering, and mathematics (STEM) in higher education. Empirical data were collected from 88 postgraduate students studying at the African Centre of Excellence for Innovative Teaching Learning Mathematics and Science (ACEITLMS) using online oral interviews and two five-point Likert scale questionnaires. Interviews were analysed through content analysis while data from the questionnaire were scanned through the Statistical Package for Social Scientists (SPSS) to compute descriptive statistics and Spearman rho correlation coefficient. The findings indicate that online collaborative learning through small group discussions prompt knowledge co-construction, and higher-order thinking skills in STEM subjects. Moreover, the findings demonstrate how several electronic multimedia tools (PhET simulations, animations, YouTube videos) can increase student retention and engagement in learning STEM. Though the students reported that they experienced challenges such as poor internet connection, lack of laboratory work, electricity shortage, and limited ICT skills, they managed to complete STEM learning activities by using free virtual laboratories, portable tethering hotspots from their smartphones, and smartphones where power was a problem and learnt the navigation of ICT tools from their peers. The study found moderate positive Spearman rho correlation coefficient, {r}_{s}=0.69, P<0.01 r s = 0.69 , P < 0.01 which explains that 69% of the total variance in the students’ successful performance is explained by the two variables, i.e., social and cognitive presence. The study recommends more training for course instructors and students. Efforts should be put in place to focus on ICT manipulation and curating interactive content. The researchers acclaim the expansion of internet coverage in University of Rwanda campuses. This action will enhance online and blended learning. Moreover, the study recommends the integration of ICT and the use of multimedia tools such as Bio-interactive and Physics Education Technology (PhET) interactive simulations in STEM subjects as supplementary resources. These tools support cognitive and affective domains in the teaching and learning process. Furthermore, universities can reduce the problem of expensive and inadequate laboratory equipment by adopting the use of virtual laboratories, especially for online STEM lessons.",IS,Mixed
Using big data in telecommunication companies: A case study,"The study was aimed at examining big data management in three telecommunication companies. The case of Big Data management was studied using a qualitative research approach with the primary method of open-ended interview. Websites and documents were examined for developing company profile. Observations augmented data collection from other sources. Companies have widespread operations with substantial stakes. Big Data was managed by using diverse systems such as Cloudera Data Hub (CDH) and SaaS. For data security, these companies made different arrangements. Three companies used big data systems for diverse functions and applications. These companies needed to develop competent professionals for data management, security, and other applications. It was a study of its own kind conducted in this context. Companies in different sectors may benefit from these findings and suggestions. This study may have wider implications for regional organizations. These are credible findings for these companies in managing big data. Other companies may also benefit from these findings. Key words: Big data, telecommunication companies, data security, big data management.",IS,Qualitative
"The Challenges of Online Teaching in COVID-19 Pandemic: A Case Study of Public Universities in Karachi, Pakistan","Aim/Purpose: This study aims to examine the challenges faculty members face with online teaching practices in public universities in Karachi, Pakistan during the COVID-19 pandemic. Faculty members’ pedagogical experiences were examined by following the approach of the technology acceptance model (TAM) framework presented by Davis in 1986 and 1989. Background: The COVID-19 pandemic has significantly affected educational activities and disrupted the traditional norms of education at colleges and universities in the world, and, as a result, teaching and learning have shifted to online. Accordingly, the outcome of the COVID-19 pandemic has unexpectedly forced educators and educational leaders to analyze pedagogical measures to offer quality education to students and make changes to their curriculum and instruction. Methodology: This study used a mixed-method research design with closed-ended surveys and interviews. The researchers distributed online questionnaires and conducted phone call interviews, followed by simple random sampling approach to strengthen data collection and analysis. The research data were analyzed through descriptive statistical tests, including mean, standard deviation, and Pearson correlation, and thematic analysis. Contribution: By examining the challenges faculty members face with online teaching practices, this study contributes to the literature knowledge to advance the Practical-Knowledge gap (the lack of empirical studies in the context of practice and theoretical perspective) by knowing faculty members’ experiences and attitudes regarding online teaching in public universities in Karachi, Pakistan. The adopted framework of the technology acceptance model provides confirmation of reliability in the context of higher education institutions, which can help explore pedagogical challenges and practices of teachers who teach online in other provinces in Pakistan, cultures, and countries. This study provides suggestions to online teachers in Pakistan to sort out their challenges. Findings: The findings highlight a favorable attitude of faculty members’ usage of virtual platforms for teaching. Likewise, faculty members encountered several challenges that caused restrictions in accomplishing competent teaching and learning. Furthermore, faculty members lacked sound experience in conducting online classes and were not given adequate technical assistance or ICT infrastructure to cope with the technical challenges. Recommendations for Practitioners: It is recommended by this study that teachers should be given adequate professional development opportunities to develop technical and ICT infrastructure competencies to facilitate them to successfully teach online. Recommendation for Researchers: Another study should be conducted at the national level to reinforce the understanding and generalization of this study’s results. Furthermore, this study assessed public universities faculty members’ experiences through self-reported surveys and interviews. However, future researchers should employ other means and methods of examination such as private universities, public universities, primary schools, middle schools, secondary schools, and observations or focus group discussions to broaden the understanding of online teaching practices and challenges in Pakistan. Impact on Society: By examining faculty members’ experiences and challenges of teaching online, this study will help educators and educational leaders to raise the quality of online teaching in Pakistan by knowing the appropriate solutions and recommendations. Future Research: This study examined the adoption of three ICT indicators through pedagogical practices such as perceived usefulness, perceived ease of use, and attitude to use. For future studies, researchers and practitioners should evaluate other indicators such as students’ learning outcomes.",IS,Mixed
Healthcare providers perspectives on compassion training: a grounded theory study,"There is little concrete guidance on how to train current and future healthcare providers (HCPs) in the core competency of compassion. This study was undertaken using Straussian grounded theory to address the question: “What are healthcare providers’ perspectives on training current and future HCPs in compassion?” Fifty-seven HCPs working in palliative care participated in this study, beginning with focus groups with frontline HCPs (n = 35), followed by one-on-one interviews with HCPs who were considered by their peers to be skilled in providing compassion (n = 15, three of whom also participated in the initial focus groups), and end of study focus groups with study participants (n = 5) and knowledge users (n = 10). Study participants largely agreed that compassionate behaviours can be taught, and these behaviours are distinct from the emotional response of compassion. They noted that while learners can develop greater compassion through training, their ability to do so varies depending on the innate qualities they possess prior to training. Participants identified three facets of an effective compassion training program: self-awareness, experiential learning and effective and affective communication skills. Participants also noted that healthcare faculties, facilities and organizations play an important role in creating compassionate practice settings and sustaining HCPs in their delivery of compassion. Providing compassion has become a core expectation of healthcare and a hallmark of quality palliative care. This study provides guidance on the importance, core components and teaching methods of compassion training from the perspectives of those who aim to provide it—Healthcare Providers—serving as a foundation for future evidence based educational interventions.",IS,Qualitative
Exploring the Drivers of Second-Generation South Asian American Eating Behaviors Using a Novel Qualitative Methodology: Virtual Free-Listing Informed Mind-Mapping,"South Asian Americans (SAAs) face a growing non-communicable disease burden, however the behavioral contributors to health disparities experienced by second-generation South Asians remain under-explored. The aim of this study was to identify major drivers of the foods typically eaten by second-generation SAAs. Between October-November 2020, second-generation SAAs aged 18–29 years old were recruited to conduct virtual video-conferencing-based interviews using a novel qualitative methodology which integrated free-listing and ranking, mind-mapping, and discussion-based exercises. Ranked free-lists were quantitatively analyzed to identify salient drivers of eating behaviors, while the USDA socio-ecological model was used to inform a semi-inductive thematic analysis of interview transcripts. A network analysis was conducted by quantifying connections made across participant mind-maps. Overall, 32 participants (53% female, 22.4 mean age) were interviewed in the study. Thirty-five distinct eating behavior drivers were identified in the free-listing data; those with the highest saliency scores (unadjusted for ranking) were 1) family, 2) friends, 3) taste, and 4) health; when adjusted for participant rankings, the most impactful drivers were 1) taste, 2) family, 3) health, and 4) friends. In applying the USDA socio-ecological model, individual-level drivers included personal capacity to cook, convenience in accessing certain foods, cost, emotional state, and preferences regarding taste or novelty of non-South Asian foods. Setting-level drivers included specific daily activities (e.g., socializing, working), people (e.g., family, roommates), and places (e.g., workplaces, religious institutions). Notably less sector-level drivers were identified but included interacting with the healthcare sector or social media. Norm-level drivers included South Asian cultural background, religious background, and priorities regarding health and vegetarianism informed by values outside of religion. Complex, interconnected, and multi-level drivers were identified motivating second-generation SAAs eating behaviors. Findings highlight the need to distinguish these drivers from first generation SAAs to better design interventions to improve health of second-generation SAAs. N/A.",IS,Mixed
Parent engagement in autism-related care: a qualitative grounded theory study,"ABSTRACT Parents of children with autism assume substantial responsibility for navigating intervention to address autism-related concerns, including involvement in therapy. Little is known, from the perspective of these parents, regarding how to best engage and support them in this navigating process as it evolves over the child’s development. In this article, we present findings from a large qualitative study that investigated how parents of children with autism navigate intervention, to construct an in-depth theoretical account of how this group comes to be engaged in individual-level care. Using grounded theory methods and a symbolic interactionist framework, we analyzed select documents and 45 intensive interviews conducted with 32 mothers and 9 expert professionals from urban and rural regions of Ontario, Canada. Parent-defined concerns are the central impetus for the core process of navigating intervention, labeled using parents’ language making your own way. We describe how this process is analogous to engaging in care. Four meaning-making processes – defining concerns, informing the self, seeing what is involved, and adapting emotionally – all interacting in an ongoing fashion, together account for parents’ evolving readiness and motivation for taking action to navigate intervention. We illustrate how parents’ readiness and motivation for navigating intervention (and thus for engagement) evolves over a generalized trajectory, according to three highly overlapping processes experienced by most parents: coming to understand their child has autism, going into high gear, and easing off. These findings indicate multiple empirical conditions and factors affecting engagement that service planners and professionals will likely want to consider when seeking parent involvement as a means to improve outcomes in autism. Additionally, theoretical aspects are relevant to the developing understanding of how healthcare consumers in general become engaged in individual care, with implications for patient-centered care.",IS,Qualitative
Tailoring reablement: A grounded theory study of establishing reablement in a community setting in Norway,"Reablement is an interprofessional, home-based rehabilitation service that aims to enable senior residents to cope with everyday life and to prevent functional impairments. Systematic accounts of what practitioners actually do when establishing reablement are lacking. This study aims to generate a grounded theory of practitioners' patterns of action when establishing reablement. The study is located in Norway, and grounded theory is the methodological approach. Data were collected from January 2014 to August 2016 through participant observations, focus group interviews and individual interviews. Informants are municipal healthcare employees in different organisational areas associated with the process of establishing reablement services (managers of conventional home care and representatives from the administration and service-provider offices). Altogether, 17 individuals are interviewed. The empirical data are analysed several times using open, selective and theoretical coding. The grounded theory, ""tailoring reablement,"" includes three phases-replicating, adapting and establishing-and the strategies of collaborating, developing knowledge, habituating and filtering. The theory of tailoring reablement also includes the impact of the contextual factors. The study seeks to bridge the gap between research and practice. The theory of tailoring reablement emerges from an inductive approach and theorises participants' actions. The theory focuses on the phases from innovation to implementation. Establishing a new service model in a complex welfare setting requires a wide range of actors and agencies. Tailoring reablement also requires flexibility and professional autonomy. It is important to create terms and conditions for this within a stringent health and care service. The insights of this study have implications for practice development of reablement and can fit other public sector fields.",IS,Qualitative
Participants' views of telephone interviews within a grounded theory study.,"AIM To offer a unique contribution to the evolving debate around the use of the telephone during semistructured interview by drawing on interviewees' reflections on telephone interview during a grounded theory study. BACKGROUND The accepted norm for qualitative interviews is to conduct them face-to-face. It is typical to consider collecting qualitative data via telephone only when face-to-face interview is not possible. During a grounded theory study, exploring users' experiences with overnight mask ventilation for sleep apnoea, the authors selected the telephone to conduct interviews. This article reports participants' views on semistructured interview by telephone. DESIGN An inductive thematic analysis was conducted on data pertaining to the use of the telephone interview in a grounded theory study. METHODS The data were collected during 4 months of 2011 and 6 months in 2014. The article presents an inductive thematic analysis of sixteen participants' opinions about telephone interviewing and discusses these in relation to existing literature reporting the use of telephone interviews in grounded theory studies. FINDINGS Overall, participants reported a positive experience of telephone interviewing. From each participants reports we identified four themes from the data: being 'phone savvy; concentrating on voice instead of your face; easy rapport; and not being judged or feeling inhibited. CONCLUSION By drawing on these data, we argue that the telephone as a data collection tool in grounded theory research and other qualitative methodologies need not be relegated to second best status. Rather, researchers can consider telephone interview a valuable first choice option.",IS,Qualitative
From spouse to caregiver and back: a grounded theory study of post-intensive care unit spousal caregiving.,"AIM To explore the challenges and caring activities of spouses of intensive care unit survivors during the first year of patient recovery. BACKGROUND Every year, millions of people globally are discharged from an intensive care unit after critical illness to continue treatment, care and rehabilitation in general hospital wards, rehabilitation facilities and at home. Consequently, millions of spouses become informal caregivers. Little is known, however, about the concrete challenges spouses face in post-intensive care unit everyday life. DESIGN Explorative, qualitative grounded theory study. METHODS Participants were spouses of intensive care unit survivors. The study was undertaken in Denmark in 2009-2010. Data consisted of 35 semi-structured dyad interviews at 3 and 12 months post-intensive care unit discharge, two group interviews with patients and two with spouses. FINDINGS 'Shifting their role from spouse to caregiver and back' was identified as the core category of the study. The role shifts progressed in a dynamic process involving four elements: (1) committing to caregiving; (2) acquiring caregiving skills; (3) negotiating level of caregiving and (4) gradually leaving the caregiver role. Post-ICU caregiving comprised five patient dimensions: observing, assisting, coaching, advocating and managing activities. CONCLUSIONS Spouses play a vital and multifaceted role in post-intensive care unit recovery. The findings can inform healthcare professionals in their efforts to prepare intensive care unit patients' families for the time following intensive care unit and hospital discharge. Hospital staff, rehabilitation experts and primary care professionals must acknowledge spouses' important contribution from intensive care unit admission throughout recovery.",IS,Qualitative
Machine Learning–Based Analysis of Encrypted Medical Data in the Cloud: Qualitative Study of Expert Stakeholders’ Perspectives,"Background Third-party cloud-based data analysis applications are proliferating in electronic health (eHealth) because of the expertise offered and their monetary advantage. However, privacy and security are critical concerns when handling sensitive medical data in the cloud. Technical advances based on “crypto magic” in privacy-preserving machine learning (ML) enable data analysis in encrypted form for maintaining confidentiality. Such privacy-enhancing technologies (PETs) could be counterintuitive to relevant stakeholders in eHealth, which could in turn hinder adoption; thus, more attention is needed on human factors for establishing trust and transparency. Objective The aim of this study was to analyze eHealth expert stakeholders’ perspectives and the perceived tradeoffs in regard to data analysis on encrypted medical data in the cloud, and to derive user requirements for development of a privacy-preserving data analysis tool. Methods We used semistructured interviews and report on 14 interviews with individuals having medical, technical, or research expertise in eHealth. We used thematic analysis for analyzing interview data. In addition, we conducted a workshop for eliciting requirements. Results Our results show differences in the understanding of and in trusting the technology; caution is advised by technical experts, whereas patient safety assurances are required by medical experts. Themes were identified with general perspectives on data privacy and practices (eg, acceptance of using external services), as well as themes highlighting specific perspectives (eg, data protection drawbacks and concerns of the data analysis on encrypted data). The latter themes result in requiring assurances and conformance testing for trusting tools such as the proposed ML-based tool. Communicating privacy, and utility benefits and tradeoffs with stakeholders is essential for trust. Furthermore, stakeholders and their organizations share accountability of patient data. Finally, stakeholders stressed the importance of informing patients about the privacy of their data. Conclusions Understanding the benefits and risks of using eHealth PETs is crucial, and collaboration among diverse stakeholders is essential. Assurances of the tool’s privacy, accuracy, and patient safety should be in place for establishing trust of ML-based PETs, especially if used in the cloud.",IS,Qualitative
Nursing students' understanding and enactment of resilience: a grounded theory study.,"AIM The aim of this study was to explore nursing students' understanding and enactment of resilience. BACKGROUND Stress is considered to be a major factor affecting the health, well-being and academic performance of nursing students. Resilience has been extensively researched as a process that allows individuals to successfully adapt to adversity and develop positive outcomes as a result. However, relatively little is known about the resilience of nursing students. DESIGN A constructivist, grounded theory qualitative design was used for this study. METHOD In-depth individual interviews were conducted with 38 nursing students enrolled in a four-year, integrated baccalaureate nursing degree programme at a university in Ontario, Canada. Face-to-face interviews were conducted from January to April 2012 using a semi-structured interview guide. FINDINGS The basic social process of 'pushing through' emerged as nursing students' understanding and enactment of resilience. Participants employed this process to withstand challenges in their academic lives. This process was comprised of three main phases: 'stepping into', 'staying the course' and 'acknowledging'. 'Pushing through' also included a transient 'disengaging' process where students were temporarily unable to push through their adversities. The process of 'pushing through' was based on a progressive trajectory, which implied that nursing students enacted the process to make progress in their academic lives and to attain goals. CONCLUSION Study findings provide important evidence for understanding the phenomenon of resilience as a dynamic, contextual process that can be learnt and developed, rather than a static trait or personality characteristic.",IS,Qualitative
"Motivations for use, identity and the vaper subculture: a qualitative study of the experiences of Western Australian vapers","Vaping is a relatively new practice, and therefore its symbolic meanings and social practices are yet to be fully understood, especially within Australia where the practice is strictly regulated. This study aimed to examine vapers motivations for use, reinforcing influences, and association with the vaper subculture. Working from a constructivist epistemology and a symbolic interaction framework, in-depth interviews were conducted with a purposive sample of 37 current (89%) and former (11%) adult vapers, 70% male, mean age of 32.5. Data was analysed via thematic analysis. Vapers largely started vaping to quit smoking and underwent common experiences during their initiation phase. Subsequently, vapers tended to adopt one of two dominant identities, that of the ‘cloud chaser’ or the ‘substitute’, which some users moved between during different stages of their vaping career. The social and symbolic meaning of e-cigarettes and vaping varied and involved concepts of harm reduction, addiction, pleasure, stigma and community, and for some, connection to the vaper subculture. Understanding the complexities of vaping, and the nuanced differences of ‘cloud chasers’ and ‘substitute’ vapers may have important implications for health communication, research and policy. E-cigarette users within this sample were not a homogeneous group and differed in their motivations for use, association with the vaper subculture and relationship with the vape community. These findings provide new insights into the socialisation process and subsequent identity adoption of vapers within the unique regulatory environment of Western Australia.",IS,Qualitative
Stroke patients' perceptions of home blood pressure monitoring: a qualitative study.,"BACKGROUND Stroke is the leading cause of adult disability in the UK. Hypertension is the leading modifiable risk factor for stroke. There is increasing interest n home blood pressure monitors for self-monitoring, but no published research on the experiences of stroke patients who do self-monitor. AIM To explore stroke patients' experiences of self-monitoring with nurse-led support. DESIGN AND SETTING A qualitative study of 26 (66%) patients from the first 39 participants to complete the intervention arm of a community-based randomised controlled trial (RCT) of home blood pressure monitoring in 381 patients recruited from hospital stroke clinics in south London. METHOD Semi-structured face-to-face interviews were conducted with 26 patients. Interviews were digitally recorded and transcribed, and a thematic analysis of the data was undertaken. RESULTS Participants were highly motivated to avoid a further stroke and developed a strong focus on blood pressure control and attaining a 'good result'. Only a minority reported anxiety about their blood pressure. Participants gained a welcome sense of empowerment and control over managing their health; some felt confident and 'experimented' with their medication doses. Eight patients required physical help to self-monitor and there was uncertainty about where responsibility lay for such help. Patients who lived alone and were functionally impaired had the least positive experience. Active engagement with the home blood pressure monitoring process by GPs was variable. CONCLUSION Patients in this study generally reported increased knowledge and empowerment about blood pressure control and avoiding further strokes. The technique is overall welcome, acceptable, and successful, even in patients with disabilities. Since home blood pressure monitoring can also lead to improved blood pressure control, this simple, pragmatic intervention might be more widely used.",IS,Qualitative
Designing an Internet of Things-Based Learning Management Model to Improve the Math Problem Solving Ability of High School Students in Mashhad,"Background and Aim: The Internet of Things has many uses in education. However, one of the most important subjects in all educational levels is mathematics, which was specifically addressed in this research. Therefore, the purpose of this research was to design a learning management model based on the Internet of Things to improve the mathematical problem solving ability of secondary school students in Mashhad. Research method: The current research is applied in terms of its purpose, which was carried out with an approach mixed with an exploratory design and by combining qualitative and quantitative methods. In order to deeply investigate and understand more about the subject and the factors affecting them, in addition to theoretical foundations, interviews were used for better understanding and the grounded theory approach. Then a quantitative approach was used to confirm the qualitative results. In the qualitative part, in order to identify the components of the model, 12 experts from the scientific community and academic experts were interviewed in the field of research. Results: The results of the qualitative part showed that the model includes 75 major categories (resulting from open coding), 10 core categories (resulting from axial coding) and two main categories (resulting from selective coding). In the quantitative section, a questionnaire containing 51 items was prepared and given to 384 secondary school students in Mashhad. The results of this section showed that there is a significant relationship between learning management based on the Internet of Things and the ability to solve mathematical problems. Conclusion: The results showed that the effectiveness of the variable components of learning management based on the Internet of Things (in order of technical and systemic infrastructures, measurement and evaluation, educational content, support (technical, financial and legal) and educational method) and the variable components of solving ability It is a mathematical problem (in the order of testing hypotheses, making hypotheses, gathering information, defining the problem and drawing conclusions).",IS,Mixed
Delayed diagnostic evaluation of symptomatic breast cancer in sub-Saharan Africa: A qualitative study of Tanzanian women,"Background Women with breast cancer in sub-Saharan Africa are commonly diagnosed at advanced stages. In Tanzania, more than 80% of women are diagnosed with stage III or IV disease, and mortality rates are high. This study explored factors contributing to delayed diagnostic evaluation among women with breast cancer in Tanzania. Methods A qualitative study was performed at Muhimbili National Hospital in Dar es Salaam, Tanzania. Twelve women with symptomatic pathologically proven breast cancer were recruited. In-depth, semi-structured interviews were conducted in Swahili. Interviews explored the women’s journey from symptom recognition to diagnosis, including the influence of breast cancer knowledge and pre-conceptions, health seeking behaviors, psychosocial factors, preference for alternative treatments, and the contribution of culture and norms. Audio-recorded interviews were transcribed and translated into English. Thematic analysis was facilitated by a cloud-based qualitative analysis software. Results All women reported that their first breast symptom was a self-identified lump or swelling. Major themes for factors contributing to delayed diagnostic presentation of breast cancer included lack of basic knowledge and awareness of breast cancer and misconceptions about the disease. Participants faced barriers with their local primary healthcare providers, including symptom mismanagement and delayed referrals for diagnostic evaluation. Other barriers included financial hardships, fear and stigma of cancer, and use of traditional medicine. The advice and influence of family members and friends played key roles in healthcare-seeking behaviors, serving as both facilitators and barriers. Conclusion Lack of basic knowledge and awareness of breast cancer, stigma, financial barriers, and local healthcare system barriers were common factors contributing to delayed diagnostic presentation of breast cancer. The influence of friends and family also played key roles as both facilitators and barriers. This information will inform the development of educational intervention strategies to address these barriers and improve earlier diagnosis of symptomatic breast cancer in Tanzania.",IS,Qualitative
A qualitative study of school nurses' moral distress related to COVID-19.,"OBJECTIVE To understand school nurses' perceptions and experiences of moral distress related to COVID-19 case management in the school systems. DESIGN A descriptive qualitative study guided by Braun and Clarke's reflexive thematic analysis. SAMPLE Twelve school nurses practicing in Colorado from December 2021 to January 2022. MEASUREMENTS Semi-structured interviews about school nurses' experiences of COVID-19. Investigators utilized an iterative reflexive thematic analysis process engaging the participants' and researchers' subjective experiences. RESULTS Four themes were created: (1) keeping kids and the community safe, (2) caught in the middle of the ""tug of war"" between health and politics, (3) distress amid an ocean of COVID-19 uncertainty, and (4) visibility as a bright spot shining through the COVID-19 cloud. CONCLUSIONS Two research questions examined school nurses' experiences of moral distress and their role and scope of practice that affected their relationships in the educational and public health systems. The results of this study confirm the important role of school nurses and interprofessional case management in school environments in the fight against infectious diseases and pandemics. Building stronger relationships between school nurses and public health is imperative for future collaborative and cohesive public health responses to pandemics.",IS,Qualitative
IoT in Supply Chain Management: Opportunities and Challenges for Businesses in Early Industry 4.0 Context,"The Internet of Things (IoT) is a global network of smart devices that integrate physical and digital worlds. While the IoT is reported to be a foundation technology for the emerged Industry 4.0 era, empirical evidence related to IoT use in supply chain management is scant. This study, therefore, investigates the opportunities and challenges of IoT use in the supply chains using grounded theory based interviews with managers from the Australian retail industry. The thematic analysis using NVivo reveals that IoT deployment improves visibility of goods movement, data capture, partner communication, and business intelligence. However, retailers face challenges due to the lack of top management initiative, new technology acquisition cost, stakeholders' reluctance to accept change, unwillingness to share data, and inadequate interoperability between partner systems. The study offers a proof-of-concept of IoT benefits that strengthen the IoT-related investment decision, sheds light on adoption challenges and develops propositions for future research.",IS,Qualitative
Patients’ and Clinicians’ Perceived Trust in Internet-of-Things Systems to Support Asthma Self-management: Qualitative Interview Study,"Background Asthma affects 235 million people worldwide. Supported self-management, including an action plan agreed with clinicians, improves asthma outcomes. Internet-of-things (IoT) systems with artificial intelligence (AI) can provide customized support for a range of self-management functions, but trust is vital to encourage patients’ adoption of such systems. Many models for understanding trust exist, some explicitly designed for eHealth, but no studies have used these models to explore trust in the context of using IoT systems to support asthma self-management. Objective In this study, we aim to use the McKnight model to explore the functionality, helpfulness, and reliability domains of patients’ and clinicians’ trust in IoT systems to deliver the 14 components of self-management support defined by the PRISMS (Practical Reviews in Self-Management Support) taxonomy. Methods We used think-aloud techniques in semistructured interviews to explore the views of patients and clinicians. Patients were recruited from research registers and social media and purposively sampled to include a range of ages, genders, action plan ownership, asthma duration, hospital admissions, and experience with mobile apps. Clinicians (primary, secondary, and community-based) were recruited from professional networks. Interviews were transcribed verbatim, and thematic analysis was used to explore perceptions of the functionality, helpfulness, and reliability of IoT features to support components of supported self-management. Results A total of 12 patients and 12 clinicians were interviewed. Regarding perceived functionality, most patients considered that an IoT system had functionality that could support a broad range of self-management tasks. They wanted a system to provide customized advice involving AI. With regard to perceived helpfulness, they considered that IoT systems could usefully provide integrated support for a number of recognized components of self-management support. In terms of perceived reliability, they believed they could rely on the system to log their asthma condition and provide preset action plan advice triggered by their logs. However, they were less confident that the system could operate continuously and without errors in providing advice. They were not confident that AI could generate new advice or reach diagnostic conclusions without the interpretation of their trusted clinicians. Clinicians wanted clinical evidence before trusting the system. Conclusions IoT systems including AI were regarded as offering potentially helpful functionality in mediating the action plans developed with a trusted clinician, although our technologically adept participants were not yet ready to trust AI to generate novel advice. Research is needed to ensure that technological capability does not outstrip the trust of individuals using it.",IS,Qualitative
